id,Title,Date,Status
157,"Union after 24 years !",2008-10-18,publish
159,Hellooooo,2008-10-18,publish
161,"Welcome to Stock Market",2008-10-20,publish
167,"Congrats India",2008-10-22,publish
170,"Total Desi ;)",2008-11-05,publish
172,Fashion,2008-11-09,publish
176,"Indian news channels aka shameless entertainment factory",1970-01-01,draft
181,"Before and after marriage ;)",2008-11-16,publish
183,"How i may assist you ? ;)",2008-12-05,publish
185,"Old friends...",2008-12-09,publish
189,"Toxic wives...beware ;)",2008-12-14,publish
191,"Where was his sena ?",2008-12-24,publish
195,"Happy New Year",2009-01-01,publish
197,"Bloody hell",2009-01-02,publish
203,Kids...smiles...smiles...,2009-01-11,publish
209,"You bloody",2009-01-17,publish
213,"An awesome pic",2009-02-02,publish
217,"Metal detected ;)",2009-02-10,publish
221,"Dish karo - shit karo",2009-02-14,publish
225,"Our Oscars",2009-02-23,publish
228,"No parking ;)",2009-03-27,publish
231,"Pawer Break ;)",2009-03-27,publish
236,"Who could have done it ?",2009-03-27,publish
239,Beautiful...,2009-03-28,publish
242,"Tagged !",2009-04-07,publish
246,"Made in India ;)",2009-04-11,publish
249,Testimonial'ing,2009-05-01,publish
252,"Reserved...for ladies",1970-01-01,draft
253,"Reserved...for ladies",2009-05-30,publish
259,Clean-ed,2009-06-07,publish
262,De-board-ed,2009-06-27,publish
265,We...,2009-07-06,publish
274,Enter-marriage-tainment,2009-08-02,publish
277,"Patient No. 31",2009-08-08,publish
283,Bank-shit,1970-01-01,draft
285,"Doing it <strike>ON</strike>OFFline :(",2009-08-13,publish
294,"What is your say about this ?",2009-08-14,publish
299,"Is it served cold ?",2009-08-15,publish
304,Error,2009-08-16,publish
308,Ladis,2009-08-17,publish
313,"When x approaches 5",2009-08-18,publish
316,"An ""old"" boy",2009-08-25,publish
327,"Coffee...this time ;)",2009-09-05,publish
329,"Would you ?",2009-09-18,publish
331,"Ladki Punjabi hai",2009-09-20,publish
333,"India &amp; India",2009-09-20,publish
339,"Delayed online ;)",2009-09-22,publish
341,"Trying to&hellip;",2009-10-03,publish
342,"Why ?",2009-10-03,publish
344,"2 states&hellip;",2009-10-10,publish
345,"3 Multipurpose",2009-10-14,publish
347,"Crap Unlimited ;)",2009-11-17,publish
350,"It is complicated",2009-12-02,publish
353,"Heights of cost cutting",2009-12-02,publish
354,"Emergency EXITs !",2009-12-03,publish
355,"This that",2009-12-08,publish
360,"Carrying Happiness !",2009-12-12,publish
361,"Rocket Singh &ndash; a must watch",2009-12-14,publish
362,Hello...,2010-01-08,publish
365,Slaves...,2010-01-08,publish
369,"Are you sure ?",2010-01-10,publish
373,"KariNs ;)",2010-01-21,publish
378,"...but still",2010-01-22,publish
382,"For the first time ;)",2010-01-23,publish
386,"How do you keep track of comments ?",2010-01-24,publish
389,"Shopping grrrrrrrr....",2010-01-24,publish
394,"Dear Friend :D",2010-01-28,publish
399,Again...,2010-01-30,publish
403,"Phishing new style ;)",2010-01-31,publish
407,"Where to select ?",2010-01-31,publish
411,"Reunion-ed !",2010-02-06,publish
419,"My first job :)",2010-02-07,publish
427,"Greater Noida ;)",2010-02-20,publish
428,OMG&hellip;,2010-03-01,publish
430,"Testing from iPhone :)",2010-04-14,publish
435,"Show stop ! 'ers and spoil ! 'ers",2010-05-01,publish
442,"Trained India !",2010-05-08,publish
453,,1970-01-01,draft
455,"Who What Where :(",2010-06-27,publish
459,"Quality of Service #fail",2010-07-04,publish
464,"Getting closest to Nusrat - Rahat live",2010-08-08,publish
485,"Masooma Anwar",2010-09-24,publish
490,"Phd :D",2010-10-08,publish
496,"The magical Abida Parveen",2010-11-14,publish
500,"ajnabi shahar ke ajnabi raaste",2010-11-17,publish
503,"Kolkata day 1",2010-12-03,publish
511,"Kolkata day 2",2010-12-04,publish
513,"Kolkata day 3",2010-12-05,publish
517,"Kolkata day 4",2010-12-06,publish
521,#AnnaHazare,1970-01-01,draft
541,"Ghulam Ali & Jagjit Singh live in concert",2011-09-03,publish
548,Bol,1970-01-01,draft
549,"RIP Jagjit Singh",2011-10-10,publish
556,"Happy New Year 2012",2012-01-01,publish
565,"We are brothers",2012-01-15,publish
569,"RIP Arfa Karim",2012-01-15,publish
573,"Junoon !",2012-05-13,publish
582,"Coke Studio Season 5 Episode 2",1970-01-01,draft
584,"Error in HDFC net banking payment",2012-06-12,publish
589,"Alwida Mehdi Hasan sahib...",2012-06-13,publish
603,"System ? WTF ?",1970-01-01,draft
611,Ujaarha,2012-08-16,publish
616,"Challa/Jhalla &ndash; Jab Tak Hai Jaan",2012-10-09,publish
623,"Malala Yousafzai &ndash; the brave child",2012-10-10,publish
629,"The (sad) world around us",2012-10-17,publish
633,"Indian singers famous in Pakistan",2012-12-08,publish
638,"I am sorry girl&hellip;",2012-12-29,publish
643,"So what is wrong and what needs to be done ?",2012-12-29,publish
647,2013,2013-01-01,publish
653,Paris&hellip;,2013-01-21,publish
658,"Zindabaad Murdabaad",2013-03-17,publish
661,"&hellip;roadies !",2013-03-17,publish
670,"naha ke khoon mein aai thi fasl-e-azadi",2013-08-15,publish
676,"tera Coke, mera Coke",2013-10-21,publish
679,"Dussehra street",2013-10-27,publish
684,"&hellip;badi lambi judai",2013-11-05,publish
688,"So what makes Google Search&ndash;Reunion ad click ?",2013-11-14,publish
694,"Some things are just not meant to work",2013-12-06,publish
699,"Give peace a chance in 2014",2013-12-31,publish
706,"Shit man",2014-12-19,publish
717,"Understand Punjabiat",1970-01-01,draft
719,"kujh swaal...",2008-03-28,publish
720,"Language for language ?",2008-03-29,publish
721,"Punjabi lai TV channel...",1970-01-01,draft
722,"Punjabi sabhiachaar banam TV channels...",2008-04-20,publish
725,asin...punjabi...,2008-04-27,publish
726,"ki punjabi sikhan di boli hai ?",2008-04-27,publish
727,"mera long gwacha...",2008-06-14,publish
728,"asi haar gaye...",1970-01-01,draft
729,"asi haar gaye...",1970-01-01,draft
732,"ki Punjabi bolan da matlab... ?",2008-06-15,publish
733,"punjabi di madi kismat...",2008-07-22,publish
734,"SAJDA on Zee Punjabi",2008-08-03,publish
735,"shabash &quot;Chamkila&quot; ?",2008-09-21,publish
736,"Paras - sadi Punjabi da wara(i)s...",2008-11-01,publish
737,"asin mangde haan khairan subah shaam...",2008-11-22,publish
738,"khund charcha - 1",2009-01-13,publish
739,PunjabiPortal,2009-02-01,publish
740,"Collaborations 2 - Music review",2009-03-03,publish
741,"alwida Paras saab",2009-03-07,publish
742,"PTC Punjabi music awards 2009",2009-03-22,publish
743,"Jag Jeondian De Mele - Movie Review",2009-03-31,publish
744,"Tera Mera Ki Rishta - Movie Review",2009-04-21,publish
745,"Khund Charcha - 3",2009-04-30,publish
746,"Mini Punjab - Movie Review",2009-05-03,publish
747,"Khund Charcha – 4",2010-01-19,publish
748,"Sufi Sartaaj ?",2011-12-14,publish
749,"Gurdas Maan–Roti–music review and more",2013-08-05,publish
750,"Demystifying Punjabi stereotypes - 1",2014-11-02,publish
751,"Demystifying Punjabi stereotypes - 2",2014-11-19,publish
752,"aj da Punjab",2014-11-20,publish
753,"ni nanaane beimaane - Ranjit Kaur",2014-11-28,publish
754,"janam din mubarak Maan saab",2015-01-04,publish
755,"Girls addicted to drugs in Punjab",2015-07-02,publish
788,"All about poetry...",2007-06-22,publish
789,"ranjish hi sahi...",2007-06-23,publish
790,"main bulbula c...",2007-06-23,publish
791,"yaaro kisi kaatil se...",2007-06-29,publish
792,"oh mere dost...mere ajnabi...",2007-07-11,publish
793,"yeh na hamari kismat...",1970-01-01,draft
794,"hamein to ab bhi woh...",2007-09-11,publish
795,"pata nahi dil nu kyon...",2007-10-12,publish
796,"chupke chupke raat din...",2007-11-16,publish
797,"oh bada be-lihaaz...",2007-11-17,publish
798,"lazzat-e-gam bada deejiye...",2007-11-17,publish
799,"mehfil mein baar baar...",2007-11-21,publish
800,"suna hai log use aankh bhar ke dekhte hain...",2008-03-09,publish
801,"kadi saleeb te kadi birkh...",2008-04-11,publish
802,"chale to kat hi jeyga safar...",2008-06-14,publish
803,aashiqi...,2008-06-15,publish
805,nasi,1970-01-01,draft
806,"abhi kuch aur karishme...",2008-07-30,publish
807,"tere bin...",2008-08-02,publish
808,"kuch haqeeqat to...",2008-08-10,publish
809,"woh tafawutein hain mere khuda...",2008-08-24,publish
810,"kade pattian di gal...",2008-08-24,publish
811,"main hosh mein tha",2008-09-08,publish
812,"mere shauq da nahi aitbaar tainu...",2008-09-19,publish
813,"peer tere jaan di",2008-09-26,publish
814,"tum ik gorakh dhanda ho",2008-10-09,publish
815,"wigad gai e thode dina ton",2008-10-14,publish
816,"sukoon e dil ke liye",2008-10-16,publish
817,"gam hai ya khushi hai meri zindagi hai tu",2008-11-14,publish
818,"dayaar-e-gair mein kaise tujhe sada dete",2008-11-29,publish
819,"har chand sahara hai tere pyar ka dil ko",2008-12-01,publish
820,"kuch to hava bhi sard thi kuch tha tera khiyal bhi",2008-12-05,publish
821,"jad v main apne ishq da koi wakia likhan",2008-12-22,publish
822,"main zara turna ki sikhia...",2008-12-22,publish
823,"aashiqi bedili se mushkil hai",2008-12-25,publish
824,"iska socha bhi na tha ab ke jo tanha guzri",2008-12-27,publish
825,"kya batayein k jaan gai kaise",2008-12-27,publish
826,"kavita nahi tu pyar te poori kitaab likh",2009-01-01,publish
827,"tere mud aaun di dil nu aje b aas baki hai",2009-01-01,publish
828,"pyar ka pehla khat likhne mein",2009-01-12,publish
829,"wohi palkon ka jhapkana",2009-01-13,publish
830,"rafta rafta woh meri",2009-01-18,publish
831,"aa k meri jaan mein qaraar nahi hai",2009-02-14,publish
832,"aaj fir dil ne kaha aao bhula dein yaadein",2009-03-01,publish
833,"silsile tod gaya woh sabhi jaate jaate",2009-03-07,publish
834,"tujh ko aate hi nahi chuppne ke andaaz abhi",2009-03-14,publish
835,"tu mud mud mohabbat da izhaar na kar",2009-04-02,publish
836,"daag-e-dil humko yaad aane lage",2009-04-21,publish
837,"ab tere mere beech zara faasla bhi ho",2009-04-26,publish
838,"jab bahar aai to sehra ki taraf chal nikla",2009-05-04,publish
839,"hai isi mein pyar ki aabroo",2009-06-24,publish
840,"nasib aajmaane ke din aa rahe hain",2009-07-14,publish
841,"milne Mehdi Hasan se...",2010-01-21,publish
842,"eh tere pyar de pattar",2010-02-04,publish
843,"meri likhi kavita...",2010-02-21,publish
844,"zindagi yun thi ke jeene ka bahana tu tha",2010-06-23,publish
845,"tumne bhi thukra hi diya hai",2011-07-10,publish
846,"dekha jo aaina to mujhe sochna pada",2011-07-11,publish
847,"dukh fasana nahi ke tujh se kahein",2011-09-10,publish
848,"beqarar tanhaiyon ka silsila reh jayega",2012-01-03,publish
849,"kyo tu acha lagta hai",2012-02-26,publish
850,"ik nukte vich gal mukdi e",2012-03-03,publish
851,"muhabbaton mein dikhaave ki dosti na mila",2012-04-29,publish
852,"dukh chhupaye huye hain hum dono",2012-06-02,publish
853,"aap hain kyon khafa kuch pata to chale",2012-07-21,publish
854,"Faraz ab koi sauda koi junoon bhi nahin",2012-07-28,publish
855,"nazar bujhi to karishmein bhi roz-o-shab ke gaye",2012-08-27,publish
856,"kabhi aah lab pe machal gai",2013-01-06,publish
857,"pehle to apne dil ki raza jaan jaiye",2013-08-28,publish
858,"naqsh faryaadi hai…",2013-09-08,publish
859,"ye na thi hamari qismat…ajab apna haal hota",2013-12-31,publish
860,"Love Sonnets of Ghalib–Ghalib in translation",2014-01-07,publish
944,"Merging three blogs into one",2015-10-20,publish
955,"If you are going to Goa",2016-04-03,publish
1014,"Enabling Helium backup for Redmi phones",2017-06-28,publish
1025,"Today is 16th August",2017-08-16,publish
1037,"Babas...and the bhagts",1970-01-01,draft
1066,"us ka apna hi karishma hai",2017-12-09,publish
1068,"Best of online Ghazal radio stations",2017-12-12,publish
1101,"chote Wadali saab",1970-01-01,draft
1129,"Bombay rains",2018-06-08,publish
1226,,1970-01-01,draft
1457,"India Lockdown - Day 1",2020-03-25,publish
1474,"India Lockdown - Day 2",2020-03-26,publish
1479,"India Lockdown – Day 3",2020-03-27,publish
1489,"India Lockdown - Day 4",2020-03-28,publish
1498,"India Lockdown - Day 5",2020-03-29,publish
1503,"India Lockdown - Day 6",2020-03-30,publish
1507,"India Lockdown - Day 7",2020-03-31,publish
1510,"India Lockdown - Day 8",2020-04-01,publish
1522,"India Lockdown - Day 9",2020-04-02,publish
1525,"India Lockdown - Day 10",2020-04-03,publish
1528,"India Lockdown - Day 11",2020-04-04,publish
1532,"India Lockdown - Day 12",2020-04-05,publish
1535,"India Lockdown - Day 13",2020-04-06,publish
1538,"India Lockdown - Day 14",2020-04-07,publish
1541,"India Lockdown - Day 15",2020-04-08,publish
1545,"India Lockdown - Day 16",2020-04-09,publish
1553,"India Lockdown - Day 17",2020-04-10,publish
1556,"India Lockdown - Day 18",2020-04-11,publish
1558,"India Lockdown - Day 19",2020-04-12,publish
1561,"India Lockdown - Day 20",2020-04-13,publish
1564,"India Lockdown - Day 21",2020-04-14,publish
1578,"aur ye khat humko likha hai...",2020-05-02,publish
1662,,1970-01-01,draft
1780,"Heer Waris Shah - PaRchol te Visthaar",2021-04-15,publish
1812,"mitti da bawa isn't written by Shiv",2021-07-19,publish
1865,"A take on Farmers' protest",2021-12-13,publish
1989,"Should culture not change ?",2022-12-27,publish
